player_id,signup_date,country,region,platform,acquisition_channel,age,skill_segment,device_name,email
P00050," 27-12-2025",KR,APAC,Mobile,YouTube,35,Casual,"Android Tablet",user50@example.com
P00051,2025-09-16T20:52:35Z,"South Korea",APAC,PC,"Store Feature",24,Core,iPhone,user51@example.com
P00052,"09.12.2025 02:47",Bharat,APAC,Xbox,"Google Ads",34,Casual,PS5,user52@example.com
P00053,"2025-11-01T02:26:11Z ",India,APAC,Ps5,"Paid Search",24,Casual,"Windows 10",user53@example.com
P00054,"2025-12-11 19:51:02",,APAC,PlayStation,"Paid Search",16,Casual,PS5,user54@example.com
P00055,2025.11.13,"République Française",EMEA,pc,paid_search,37,Casual,iPhone,user55@example.com
P00056,2025/12/09,Brasil,LATAM,Android,Influencer,34,Casual,iPad,user56@example.com
P00057,"12.11.2025 10:13",Deutschland,EMEA,PlayStation,YT,27,Casual,,user57@example.com
P00058," Feb 15, 2026 11:14PM",canada,NA,PlayStation,Referral,45,Core,iPhone,user58@example.com
P00059,"2026-03-01 02:28:32",Deutschland,NULL,PC,Organic,24,Core,"Windows 11",user59@example.com
P00060,"Aug 28, 2025 07:45AM ",JP,APAC,"Xbox Series X",,34,Core,PS5,user60@example.com
P00061,"Nov 22, 2025",U.S.A,NA,PS5,organic,38,Core,PS5,user61@example.com
P00062,"08.10.2025 12:55",Nippon,APAC,PC/Steam,Streamer,37,Casual,"Windows 10",user62@example.com
P00063,2025/09/26,Deutschland,EMEA,Mobile,organic,35,Casual,"Android Tablet",user63@example.com
P00064," 2025.10.27",MX,LATAM,iOS,"Google Ads",16,Casual,PS5,user64@example.com
P00065," 28.01.2026 01:42",USA,NA,PlayStation,AppStore,38,Casual,iPhone,user65@example.com
P00066,26-02-2026,KR,APAC,PC,"Paid Search",40,Casual,"Windows 10",user66@example.com
P00067,"2025-11-11 05:44:15",India,APAC,PC,"Paid Search",29,Casual,"Windows 10",user67@example.com
P00068,"01/25/26 23:54",U.S.A,NA,"Epic PC",Discord,34,Casual,"Samsung Galaxy",user68@example.com
P00069,"29.01.2026 17:51",IN,APAC,Steam,paid_search,38,Casual,"Steam Deck",user69@example.com
P00070,"01/27/26 17:04",US,NA,PC/Steam,discord,39,Casual,"Windows 11",user70@example.com
P00071,2025/09/20,Brazil,LATAM,PC,Organic,24,Competitive,"Xbox Series X",user71@example.com
P00072,20-08-2025,France,EMEA,Xbox,referral,44,Casual,"Windows 10",user72@example.com
P00073,,Korea,APAC,Steam,Community,18,Core,"Windows 11",user73@example.com
P00074,"2026-02-16 04:20:24",US,NULL,steam,Organic,27,Core,"Xbox Series X",user74@example.com
P00075,2026-01-13T18:29:22Z,"United Kingdom",EMEA,Android,ORG,42,Core,Pixel,user75@example.com
P00076,11-01-2026,"United states",NA,xbox,organic,24,Casual,"Windows 10",user76@example.com
P00077,"Oct 01, 2025",MX,LATAM,IOS/Android,referral,26,Casual,PS5,user77@example.com
P00078,"10/06/25 12:59",KR,APAC,Mobile,Organic,22,core,"Xbox Series X",user78@example.com
P00079,2026/02/04,US,NA,xbox,Streamer,36,Competitive,"Windows 11",user79@example.com
P00080,"2025-10-23 16:56:52",U.S.A,NA,mobile,Community,40,Casual,"Xbox Series X",user80@example.com
P00081,2026-01-08T17:45:55Z,canada,NA,XBOX,ORG,30,Casual,"Android Tablet",user81@example.com
P00082,"03.08.2025 09:29","United states",NA,PS,discord,26,Core,"Windows 11",user82@example.com
P00083,2025-08-02,U.S.A,NA,steam,organic,22,Competitive,Pixel,user83@example.com
P00084,2026-02-28,U.K.,EMEA,"xbox series",twitch,40,Competitive,"Samsung Galaxy",user84@example.com
P00085,2025/11/13,France,EMEA,"Epic PC",YouTube,23,Competitive,"Windows 10",
P00086,"Oct 25, 2025",U.S.A,NA,steam,"Google Ads",34,core,"Windows 10",user86@example.com
P00087,14-02-2026,Brasil,LATAM,Mobile,ORG,21,Competitive,"Samsung Galaxy",user87@example.com
P00088,29-01-2026,Australia,APAC,PC/Steam,Creator,31,Core,"Steam Deck",user88@example.com
P00089," 2026-02-02T20:52:22Z",Mexico,LATAM,"xbox series","Store Feature",25,Casual,"Windows 10",user89@example.com
P00090,11/29/2025,FR,EMEA,steam,Organic,45,Core,iPhone,user90@example.com
P00091,"2025-09-25 07:56:26",canada,NA,Xbox,Twitch,24,Casual,iPhone,user91@example.com
P00092,2025.11.17,BR,LATAM,Mobile,Organic,45,Casual,PS5,user92@example.com
P00093,"11/03/25 04:47","United Kingdom",EMEA,iOS,Organic,17,Casual,"Xbox Series X",user93@example.com
P00094,2025-11-04,"United States",NA,PC,ORG,30,Core,"Windows 11",user94@example.com
P00095,"11/18/25 02:58",Spain,EMEA,PC,,35,Core,"Windows 10",user95@example.com
P00096,2025-10-22T00:52:36Z,GB,EMEA,PC,Streamer,39,Core,"Android Tablet",user96@example.com
P00097,"2026-02-21 ",India,APAC,IOS/Android,discord,27,Competitive,"Samsung Galaxy",user97@example.com
P00098,"15.12.2025 04:33",BR,LATAM,"Xbox Series X",paid_search,17,Casual,"Windows 11",user98@example.com
P00099,2026.01.20,MX,LATAM,Mobile,Creator,NULL,Casual,iPhone,user99@example.com
P00100,"2026.01.21 ",India,APAC,"xbox series","App Store",22,Casual,Pixel,user100@example.com
P00101,"17.01.2026 03:03",India,APAC,"xbox series",Streamer,22,Core,"Samsung Galaxy",user101@example.com
P00102,2026-01-17T07:41:06Z,Mexico,LATAM,PS,ORG,25,Casual,"Windows 10",user102@example.com
P00103,2026.01.16,Australia,APAC,Android,"Google Ads",32,Casual,"Android Tablet",user103@example.com
P00104,2025/12/25,Australia,APAC,Ps5,paid_search,37,Competitive,iPhone,user104@example.com
P00105,18-10-2025,Brazil,LATAM,iOS,ORG,39,Competitive,iPhone,user105@example.com
P00106,"09/13/25 12:22",BR,LATAM,"Epic PC",Community,21,Core,"Windows 11",
P00107,19-12-2025,australia,APAC,Steam,organic,26,Core,"Steam Deck",user107@example.com
P00108,"08.12.2025 19:33",DE,EMEA,Mobile,organic,26,Casual,"Steam Deck",
P00109,2025-12-25,USA,NA,ps5,influencer,21,Core,PS5,user109@example.com
P00110,2025/08/17,USA,NA,"Xbox Series X",youtube,45,Casual,"Android Tablet",user110@example.com
P00111,14-01-2026,DE,EMEA,PC/Steam,Organic,35,Core,"Samsung Galaxy",user111@example.com
P00112,,AU,APAC,"xbox series",Twitch,40,Core,"Windows 11",user112@example.com
P00113,2026-01-01,ES,EMEA,mobile,paid_search,25,Casual,"Xbox Series X",user113@example.com
P00114,"2025-09-28 00:32:02",BR,LATAM,Windows,youtube,38,Competitive,"Xbox Series X",user114@example.com
P00115,"2025-09-24 ","United States",NA,Windows,YouTube,41,Core,"Android Tablet",user115@example.com
P00116," Sep 25, 2025",FR,EMEA,iOS,youtube,21,Competitive,"Windows 10",user116@example.com
P00117,2025.08.31,Brazil,LATAM,Steam,organic,40,Core,"Samsung Galaxy",user117@example.com
P00118,02/16/2026,Japan,APAC,Steam,Creator,31,Core,"Samsung Galaxy",user118@example.com
P00119,2025/11/10,"United Kingdom",EMEA,PC,"Paid Search",NULL,Casual,"Xbox Series X",user119@example.com
P00120,2026-02-25T12:19:46Z,canada,NA,mobile,Creator,25,Competitive,PS5,user120@example.com
P00121,21-11-2025,"United states",NA,iOS,Influencer,16,Core,iPhone,
P00122,02/09/2026,USA,NA,PC,organic,37,Competitive,iPhone,user122@example.com
P00123,2025-08-04T00:13:13Z,India,,IOS/Android,organic,21,Core,"Windows 11",user123@example.com
P00124,,Korea,APAC,Android,influencer,42,Competitive,"Windows 10",user124@example.com
P00125,2026/01/08,U.S.A,NA,PC/Steam,Creator,29,Core,"Windows 11",user125@example.com
P00126,2025.09.26,MX,LATAM,"Epic PC",Organic,33,casual,"Xbox Series X",user126@example.com
P00127,"02/21/26 16:30",Japan,APAC,ps5,YT,43,Casual,"Windows 10",user127@example.com
P00128,2025-08-20,US,NA,steam,Organic,27,Competitive,Pixel,user128@example.com
P00129,"Dec 22, 2025 03:46PM ","United states",NA,PS5,referral,39,Core,"Samsung Galaxy",user129@example.com
P00130,"2025-12-10 18:17:03",Bharat,APAC,pc,influencer,26,Core,"Windows 11",user130@example.com
P00131,"25.01.2026 05:55",Bharat,APAC,Xbox,"Friend Refer",32,Casual,"Xbox Series X",
P00132,2025.11.27,Deutschland,EMEA,XBOX,influencer,28,Core,"Windows 10",user132@example.com
P00133,"2025-09-12 15:16:08",FR,EMEA,"Epic PC",Organic,36,Casual,"Xbox Series X",
P00134,2025-12-25T16:39:20Z,Bharat,APAC,Android,organic,31,casual,"Samsung Galaxy",user134@example.com
P00135,22-02-2026,FR,EMEA,IOS/Android,Referral,25,Casual,"Windows 10",user135@example.com
P00136,"Oct 01, 2025 08:04AM",US,NA,Android,youtube,35,Casual,PS5,user136@example.com
P00137,"Oct 13, 2025","South Korea",APAC,Mobile,influencer,32,Competitive,,user137@example.com
P00138,"09/05/25 11:54",IN,APAC,xbox,Streamer,29,Competitive,"Windows 11",user138@example.com
P00139,2025.12.14,AU,APAC,PS5,"Paid Search",36,Core,"Windows 11",user139@example.com
P00140,"Oct 15, 2025 08:26AM",India,APAC,PS5,"Store Feature",19,Core,iPhone,user140@example.com
P00141,2025-09-23,UK,EMEA,Mobile,twitch,17,Casual,"Windows 10",user141@example.com
NULL,"Jan 15, 2026 06:26PM ",UK,EMEA,"Epic PC",organic,45,Core,"Windows 11",user142@example.com
P00143,"01/01/26 05:34",U.S.A,NA,pc,influencer,35,Core,"Android Tablet",user143@example.com
NULL,"08/17/25 22:31",BR,LATAM,Android,Twitch,32,Core,"Windows 10",user144@example.com
P00145,2026-02-16T06:18:18Z,USA,NA,mobile,,41,Core,"Xbox Series X",user145@example.com
P00146,,India,APAC,mobile,,44,CORE,Pixel,user146@example.com
P00147,2026/02/12,"South Korea",APAC,steam,Referral,27,Core,PS5,user147@example.com
P00148,2025.09.13,IN,APAC,Steam,"Paid Search",32,Casual,iPhone,user148@example.com
P00149,"Oct 04, 2025",,APAC,NULL,referral,19,Core,"Windows 11",user149@example.com
P00150,10/28/2025,México,LATAM,XBOX,paid_search,24,Casual,"Windows 11",user150@example.com
P00151,"19.01.2026 02:15",Brasil,LATAM,Mobile,Creator,unknown,Casual,PS5,user151@example.com
P00152,12/06/2025,Brazil,LATAM,NULL,,20,Casual,"Windows 10",user152@example.com
P00153,,Nippon,APAC,Mobile,organic,42,Core,"Xbox Series X",user153@example.com
P00154,"20.08.2025 11:11",Brazil,,Mobile,"Paid Search",41,Core,iPhone,user154@example.com
P00155,"Oct 01, 2025",Nippon,APAC,PC/Steam,"Paid Search",45,Core,,user155@example.com
P00156,2025.09.16,"United States",NA,steam,AppStore,30,Core,,user156@example.com
P00157,05-03-2026,Brasil,LATAM,Playstation,"Store Feature",42,Core,,user157@example.com
P00158,"01.08.2025 14:09",BR,LATAM,IOS/Android,Creator,27,Competitive,"Windows 11",user158@example.com
P00159,"Nov 04, 2025 10:58PM",MX,,NULL,discord,37,Casual,"Windows 11",user159@example.com
P00160,10/22/2025,ES,EMEA,Windows,Organic,unknown,Casual,"Samsung Galaxy",user160@example.com
P00161,"Jan 30, 2026","United States",NA,Android,"Google Ads",18,Competitive,"Windows 10",user161@example.com
P00162,2026/01/27,Germany,EMEA,Steam,Community,22,Core,iPhone,user162@example.com
P00163,"02/02/26 07:06",BR,LATAM,Playstation,Streamer,28,Casual,"Xbox Series X",user163@example.com
P00164,"2025-11-30 08:56:57",IN,APAC,mobile,ORG,16,Core,Pixel,
P00165,2026/01/22,Australia,APAC,Playstation,Community,17,Core,"Xbox Series X",user165@example.com
P00166,"2026-03-09 10:57:49",US,NA,PlayStation,YT,22,Casual,"Steam Deck",user166@example.com
P00167,2026/02/02,Brazil,LATAM,steam,organic,40,Casual,"Windows 10",user167@example.com
P00168,2025-11-09T03:52:51Z,,EMEA,PC/Steam,organic,18,Core,"Samsung Galaxy",user168@example.com
P00169," Dec 02, 2025 03:19AM",Deutschland,EMEA,mobile,Influencer,34,Core,"Xbox Series X",user169@example.com
P00170,08/05/2025,Deutschland,EMEA,Android,Organic,31,Casual,Pixel,user170@example.com
P00171,04-12-2025,IN,APAC,iOS,YT,24,Competitive,"Windows 10",user171@example.com
P00172,"Oct 19, 2025",U.K.,EMEA,Mobile,,31,Casual,"Samsung Galaxy",user172@example.com
NULL,12/01/2025,Brasil,LATAM,NULL,"Store Feature",37,Casual,"Windows 11",user173@example.com
P00174,"Dec 04, 2025 11:47AM",USA,NA,"Xbox Series X",organic,39,Casual,"Samsung Galaxy",user174@example.com
P00175,"Sep 22, 2025 07:32AM","United States",NA,iOS,paid_search,45,COMPETITIVE,iPhone,user175@example.com
P00176,2025.12.25,DE,EMEA,xbox,"Paid Search",33,Core,"Android Tablet",user176@example.com
P00177,"2025-10-21 18:32:45",DE,EMEA,steam,AppStore,30,Casual,iPhone,user177@example.com
P00178,,"United states",NA,steam,referral,32,CASUAL,Pixel,user178@example.com
P00179,"21.11.2025 15:36",US,NA,xbox,YT,41,Core,"Windows 11",user179@example.com
P00180,"2025-08-15 06:49:47",India,APAC,steam,organic,39,Casual,Pixel,user180@example.com
P00181,"2025-08-05 22:30:22",IN,APAC,IOS/Android,YT,45,Casual,"Windows 11",user181@example.com
P00182,"07.11.2025 16:41",BR,LATAM,NULL,"Friend Refer",28,Competitive,"Xbox Series X",user182@example.com
P00183,2026.03.08,Brasil,LATAM,Mobile,Influencer,30,Core,"Windows 10",user183@example.com
P00184,2025-12-25,UK,EMEA,Playstation,paid_search,34,Casual,Pixel,user184@example.com
P00185,2026.01.17,España,,xbox,ORG,21,Casual,Pixel,user185@example.com
P00186,"12/03/25 23:21",Brasil,LATAM,steam,Twitch,18,Casual,Pixel,user186@example.com
P00187,"2026/01/01 ",U.K.,EMEA,"Epic PC",organic,32,Casual,"Windows 10",user187@example.com
NULL,"2025-09-19 19:33:46",Bharat,APAC,"Epic PC","Google Ads",38,Competitive,"Windows 10",user188@example.com
P00189,2025.08.09,Bharat,APAC,XBOX,paid_search,26,Casual,"Android Tablet",user189@example.com
P00190,"01.12.2025 06:24",U.S.A,NA,pc,ORG,36,Casual,Pixel,user190@example.com
P00191,2025-10-02T04:09:59Z,Bharat,APAC,Mobile,Discord,39,Core,iPhone,
P00192,2026.01.11,KR,APAC,mobile,YT,44,Core,"Android Tablet",user192@example.com
P00193,"16.01.2026 06:21",IN,APAC,"xbox series","Paid Search",39,CASUAL,"Windows 11",user193@example.com
P00194,2025-09-23,JP,APAC,PlayStation,organic,41,Casual,iPhone,user194@example.com
P00195,"2026-01-17 04:49:06",France,EMEA,iOS,paid_search,31,Casual,"Android Tablet",user195@example.com
P00196,"2025-10-19 10:15:46",JP,APAC,Ps5,Community,37,CORE,iPhone,user196@example.com
P00197,"2026-01-27 01:53:32",India,APAC,PS,Organic,17,Casual,"Steam Deck",user197@example.com
P00198,2025/12/25,IN,APAC,PC/Steam,Organic,36,Core,iPhone,user198@example.com
P00199,"Dec 03, 2025 07:35AM",USA,NA,PlayStation,ORG,35,Core,"Windows 11",user199@example.com
P00200,"Jan 16, 2026 12:13AM",IN,APAC,"Xbox Series X",YouTube,28,Core,iPhone,user200@example.com
P00201,"2026-01-17 04:32:31",Brazil,LATAM,steam,Creator,44,competitive,"Windows 11",user201@example.com
P00202," 2025-12-08T19:51:46Z","United States",NA,Mobile,Organic,39,Core,"Xbox Series X",user202@example.com
NULL,"02/25/26 11:15","United Kingdom",EMEA,Steam,"Store Feature",45,Casual,"Windows 11",user203@example.com
P00204,02/04/2026,U.S.A,NA,xbox,Influencer,27,Casual,"Xbox Series X",user204@example.com
P00205,"01/15/26 18:26",KR,APAC,iOS,influencer,30,Casual,iPad,user205@example.com
P00206," Feb 26, 2026",AU,APAC,iOS,"Paid Search",30,Competitive,"Android Tablet",user206@example.com
P00207,11/29/2025,USA,NA,Windows,"Google Ads",20,Casual,"Windows 10",user207@example.com
P00208,"Jan 01, 2026","United states",NA,pc,ORG,34,Competitive,iPhone,user208@example.com
P00209,"21.09.2025 23:32",Bharat,APAC,xbox,influencer,42,Core,"Windows 11",user209@example.com
P00210,2025-12-27,Germany,EMEA,PS,"Google Ads",26,Casual,iPhone,
P00211,"Feb 22, 2026",FR,EMEA,PC,"Google Ads",43,Competitive,"Android Tablet",user211@example.com
P00212,2026/01/08,BR,LATAM,iOS,YouTube,42,Core,"Xbox Series X",
P00213,10/28/2025,"République Française",EMEA,Android,AppStore,38,Competitive,"Windows 11",user213@example.com
P00214,"26.12.2025 04:48",Brasil,LATAM,"Xbox Series X","Store Feature",31,Core,iPhone,user214@example.com
P00215,11/06/2025,US,NA,iOS,"Google Ads",28,Core,"Xbox Series X",user215@example.com
P00216,2025/11/09,IN,APAC,Steam,"Store Feature",22,Casual,"Windows 10",user216@example.com
P00217,01-12-2025,Deutschland,EMEA,"xbox series",organic,23,Competitive,"Samsung Galaxy",user217@example.com
P00218," 2025.09.07",FR,EMEA,Playstation,organic,45,Competitive,"Android Tablet",user218@example.com
P00219,"2025-08-28 12:34:48",FR,EMEA,Mobile,ORG,24,Core,iPhone,user219@example.com
P00220,2026-01-13T00:41:02Z,U.S.A,NA,Steam,influencer,19,Core,PS5,user220@example.com
P00221,2025-09-10,Brasil,LATAM,mobile,ORG,24,Casual,"Steam Deck",user221@example.com
P00222,2026-01-21,US,NA,"Epic PC",Organic,25,Core,"Windows 11",user222@example.com
P00223,2025-10-13T11:13:52Z,"United States",NA,mobile,Organic,33,Core,"Windows 11",user223@example.com
P00224,2025.11.19,France,EMEA,PC,Organic,37,Core,iPhone,user224@example.com
P00225,11-08-2025,Japan,APAC,Mobile,Creator,23,Core,"Windows 11",user225@example.com
P00226,08/08/2025,España,EMEA,xbox,Organic,25,Casual,,user226@example.com
P00227,02/06/2026,Brasil,LATAM,pc,Organic,31,Competitive,"Android Tablet",user227@example.com
P00228,"2026-01-13 ",AU,APAC,Steam,discord,40,core,iPhone,user228@example.com
P00229,"Aug 05, 2025",Brasil,LATAM,Xbox,organic,19,Casual,"Android Tablet",user229@example.com
P00230,11-09-2025,France,EMEA,xbox,organic,22,Competitive,"Android Tablet",user230@example.com
P00231,2025.09.09,Deutschland,EMEA,Android,Organic,19,Competitive,"Windows 11",user231@example.com
P00232,2026-01-27,,EMEA,IOS/Android,Organic,17,Core,"Android Tablet",
P00233,2026-01-27T18:42:20Z,,EMEA,PlayStation,discord,36,Casual,iPad,user233@example.com
P00234,"08/23/25 18:22",Brazil,LATAM,PC/Steam,AppStore,23,Core,"Samsung Galaxy",user234@example.com
P00235,"Aug 26, 2025",MX,LATAM,XBOX,"Paid Search",42,Casual,iPhone,user235@example.com
P00236,"Feb 25, 2026 02:48AM",México,LATAM,"Epic PC",paid_search,31,Casual,PS5,user236@example.com
P00237,2025/09/12,Bharat,APAC,iOS,AppStore,43,CORE,PS5,user237@example.com
P00238,2026-02-14T19:50:11Z,IN,APAC,Ps5,ORG,34,Casual,"Samsung Galaxy",user238@example.com
P00239,,"United Kingdom",EMEA,PC,paid_search,18,Casual,"Xbox Series X",user239@example.com
P00240,"2025-09-01 ",Canada,NA,steam,Creator,27,Core,"Windows 11",user240@example.com
P00241,2026-01-16,Bharat,APAC,xbox,"Google Ads",39,Core,iPhone,user241@example.com
P00242,31-10-2025,canada,NA,iOS,"Google Ads",24,Competitive,iPhone,user242@example.com
P00243,"10/08/25 02:03 ",Nippon,APAC,IOS/Android,Influencer,26,Casual,"Windows 10",user243@example.com
P00244,"Sep 02, 2025 01:36PM",CA,NA,PlayStation,Streamer,22,Casual,iPhone,
P00245,29-11-2025,U.K.,EMEA,PC/Steam,Organic,32,Casual,iPad,user245@example.com
P00246,"06.10.2025 19:20",Korea,APAC,PlayStation,Twitch,20,Core,iPad,user246@example.com
P00247,"2026-01-01 07:59:00",U.S.A,NA,"Xbox Series X",Organic,24,Core,"Xbox Series X",user247@example.com
P00248,2026.02.26,Canada,NA,PS,Discord,40,casual,"Windows 10",user248@example.com
P00249,2025.08.10,Bharat,APAC,Steam,"Paid Search",44,Casual,iPhone,user249@example.com
P00250,2025-12-15T22:39:52Z,U.S.A,NA,PC/Steam,YT,24,Core,Pixel,user250@example.com
P00251,08/31/2025,Canada,NA,mobile,"Paid Search",30,Core,"Xbox Series X",user251@example.com
P00252,02/26/2026,U.S.A,NA,steam,organic,40,CASUAL,iPhone,user252@example.com
P00253,"Aug 05, 2025","United Kingdom",EMEA,PlayStation,"Google Ads",23,Competitive,"Samsung Galaxy",user253@example.com
P00254,2025-09-03,Brazil,LATAM,ps5,ORG,42,Core,,user254@example.com
P00255,"Sep 04, 2025 02:49AM",USA,NA,"Epic PC",YouTube,18,Competitive,PS5,user255@example.com
P00256,"03.12.2025 18:30",India,APAC,xbox,paid_search,19,Core,"Xbox Series X",user256@example.com
P00257," Oct 10, 2025 12:10PM",Mexico,LATAM,pc,Organic,39,Casual,iPhone,user257@example.com
P00258,"Dec 19, 2025 03:32AM",France,EMEA,PlayStation,Influencer,33,Core,"Samsung Galaxy",user258@example.com
P00259,"17.09.2025 23:48",CA,NA,Xbox,"Paid Search",37,Core,"Xbox Series X",user259@example.com
P00260,2025-10-28,FR,EMEA,Steam,Organic,36,core,"Windows 11",user260@example.com
P00261,,KR,APAC,mobile,Referral,33,Core,PS5,user261@example.com
P00262,2025-09-08,Korea,APAC,xbox,Creator,41,Casual,,user262@example.com
P00263,"2025-11-07 10:21:33",IN,APAC,mobile,discord,38,Casual,"Windows 11",user263@example.com
P00264,"Dec 13, 2025 01:32PM",Brasil,LATAM,Windows,"Paid Search",16,Competitive,iPhone,user264@example.com
P00265,"2026-01-20 02:51:22",Germany,EMEA,Windows,Organic,39,Competitive,"Windows 11",user265@example.com
P00266,2025-10-07,Bharat,APAC,PS5,"Store Feature",34,Casual,Pixel,
P00267,2025-09-28,U.S.A,NA,"xbox series",Discord,45,Core,"Samsung Galaxy",user267@example.com
P00268,2025-10-03T05:22:11Z,,NA,iOS,"Google Ads",42,Casual,PS5,user268@example.com
P00269,"2025-08-06 00:48:55","United States",NA,pc,organic,45,Casual,"Windows 10",user269@example.com
P00270,,IN,APAC,mobile,Streamer,45,Core,"Windows 11",user270@example.com
P00271,"Jan 20, 2026",JP,APAC,Mobile,AppStore,20,CORE,iPhone,user271@example.com
P00272,2025.12.06,"République Française",EMEA,Windows,AppStore,41,Casual,"Xbox Series X",user272@example.com
P00273,"Feb 26, 2026",ES,EMEA,"Epic PC",,27,CASUAL,iPhone,user273@example.com
P00274,2025/09/24,JP,APAC,NULL,"Google Ads",21,Casual,"Windows 11",user274@example.com
P00275,2026/01/03,"United States",NA,"Xbox Series X",AppStore,26,Casual,"Xbox Series X",user275@example.com
